D,'}',1.0160846195271142e-05
N,'}',3.531796766286881e-06
P,'}',2.125714771591948e-05
M,'}',4.753077617757498e-05
O,'}',0.0013372718465644
R,'}',1.4329727018700294e-05
W,'}',4.977600796416127e-05
V,'}',7.497769413599454e-06
C,'}',7.046769408564643e-06
A,'}',1.4272257585704907e-05
D,'{',1.0160846195271142e-05
N,'{',3.531796766286881e-06
P,'{',2.125714771591948e-05
M,'{',4.753077617757498e-05
O,'{',0.0013194415552768748
R,'{',1.4329727018700294e-05
W,'{',4.977600796416127e-05
V,'{',7.497769413599454e-06
C,'{',7.046769408564643e-06
A,'{',1.4272257585704907e-05
D,'zero-coupon',1.0160846195271142e-05
N,'zero-coupon',3.531796766286881e-06
P,'zero-coupon',2.125714771591948e-05
M,'zero-coupon',4.753077617757498e-05
O,'zero-coupon',5.943430429175111e-06
R,'zero-coupon',1.4329727018700294e-05
W,'zero-coupon',4.977600796416127e-05
V,'zero-coupon',7.497769413599454e-06
C,'zero-coupon',7.046769408564643e-06
A,'zero-coupon',0.00032826192447121285
D,'zero',1.0160846195271142e-05
N,'zero',3.531796766286881e-06
P,'zero',2.125714771591948e-05
M,'zero',4.753077617757498e-05
O,'zero',5.3490873862576e-05
R,'zero',1.4329727018700294e-05
W,'zero',4.977600796416127e-05
V,'zero',7.497769413599454e-06
C,'zero',7.046769408564643e-06
A,'zero',1.4272257585704907e-05
D,'youth',1.0160846195271142e-05
N,'youth',4.238156119544257e-05
P,'youth',2.125714771591948e-05
M,'youth',4.753077617757498e-05
O,'youth',5.943430429175111e-06
R,'youth',1.4329727018700294e-05
W,'youth',4.977600796416127e-05
V,'youth',7.497769413599454e-06
C,'youth',7.046769408564643e-06
A,'youth',1.4272257585704907e-05
D,'yourself',1.0160846195271142e-05
N,'yourself',3.531796766286881e-06
P,'yourself',0.00023382862487511427
M,'yourself',4.753077617757498e-05
O,'yourself',5.943430429175111e-06
R,'yourself',1.4329727018700294e-05
W,'yourself',4.977600796416127e-05
V,'yourself',7.497769413599454e-06
C,'yourself',7.046769408564643e-06
A,'yourself',1.4272257585704907e-05
D,'your',1.0160846195271142e-05
N,'your',3.531796766286881e-06
P,'your',0.003826286588865506
M,'your',4.753077617757498e-05
O,'your',5.943430429175111e-06
R,'your',1.4329727018700294e-05
W,'your',4.977600796416127e-05
V,'your',7.497769413599454e-06
C,'your',7.046769408564643e-06
A,'your',1.4272257585704907e-05
D,'youngsters',1.0160846195271142e-05
N,'youngsters',2.4722577364008167e-05
P,'youngsters',2.125714771591948e-05
M,'youngsters',4.753077617757498e-05
O,'youngsters',5.943430429175111e-06
R,'youngsters',1.4329727018700294e-05
W,'youngsters',4.977600796416127e-05
V,'youngsters',7.497769413599454e-06
C,'youngsters',7.046769408564643e-06
A,'youngsters',1.4272257585704907e-05
D,'youngest',1.0160846195271142e-05
N,'youngest',3.531796766286881e-06
P,'youngest',2.125714771591948e-05
M,'youngest',4.753077617757498e-05
O,'youngest',5.943430429175111e-06
R,'youngest',1.4329727018700294e-05
W,'youngest',4.977600796416127e-05
V,'youngest',7.497769413599454e-06
C,'youngest',7.046769408564643e-06
A,'youngest',0.00012845031827134415
D,'younger',1.0160846195271142e-05
N,'younger',3.531796766286881e-06
P,'younger',2.125714771591948e-05
M,'younger',4.753077617757498e-05
O,'younger',5.943430429175111e-06
R,'younger',1.4329727018700294e-05
W,'younger',4.977600796416127e-05
V,'younger',7.497769413599454e-06
C,'younger',7.046769408564643e-06
A,'younger',0.0003996232123997374
D,'young',1.0160846195271142e-05
N,'young',3.531796766286881e-06
P,'young',2.125714771591948e-05
M,'young',4.753077617757498e-05
O,'young',5.943430429175111e-06
R,'young',1.4329727018700294e-05
W,'young',4.977600796416127e-05
V,'young',7.497769413599454e-06
C,'young',7.046769408564643e-06
A,'young',0.0011417806068563926
D,'you',1.0160846195271142e-05
N,'you',3.531796766286881e-06
P,'you',0.013158174436154156
M,'you',4.753077617757498e-05
O,'you',5.943430429175111e-06
R,'you',1.4329727018700294e-05
W,'you',4.977600796416127e-05
V,'you',7.497769413599454e-06
C,'you',7.046769408564643e-06
A,'you',1.4272257585704907e-05
D,'yields',1.0160846195271142e-05
N,'yields',0.000356711473394975
P,'yields',2.125714771591948e-05
M,'yields',4.753077617757498e-05
O,'yields',5.943430429175111e-06
R,'yields',1.4329727018700294e-05
W,'yields',4.977600796416127e-05
V,'yields',7.497769413599454e-06
C,'yields',7.046769408564643e-06
A,'yields',1.4272257585704907e-05
D,'yielding',1.0160846195271142e-05
N,'yielding',3.531796766286881e-06
P,'yielding',2.125714771591948e-05
M,'yielding',4.753077617757498e-05
O,'yielding',5.943430429175111e-06
R,'yielding',1.4329727018700294e-05
W,'yielding',4.977600796416127e-05
V,'yielding',0.00011246654120399181
C,'yielding',7.046769408564643e-06
A,'yielding',1.4272257585704907e-05
D,'yielded',1.0160846195271142e-05
N,'yielded',3.531796766286881e-06
P,'yielded',2.125714771591948e-05
M,'yielded',4.753077617757498e-05
O,'yielded',5.943430429175111e-06
R,'yielded',1.4329727018700294e-05
W,'yielded',4.977600796416127e-05
V,'yielded',5.2484385895196177e-05
C,'yielded',7.046769408564643e-06
A,'yielded',1.4272257585704907e-05
D,'yield',1.0160846195271142e-05
V,'yield',0.0020243977416718527
P,'yield',2.125714771591948e-05
M,'yield',4.753077617757498e-05
O,'yield',5.943430429175111e-06
R,'yield',1.4329727018700294e-05
W,'yield',4.977600796416127e-05
C,'yield',7.046769408564643e-06
A,'yield',1.4272257585704907e-05
N,'yield',0.0011096698732127191
D,'yet',1.0160846195271142e-05
N,'yet',3.531796766286881e-06
P,'yet',2.125714771591948e-05
M,'yet',4.753077617757498e-05
O,'yet',5.943430429175111e-06
